#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::10 - Onomatopoeia::Giongo

コソコソ	こそこそ	Sneaking/whispering.	Moving secretly	onomatopoeia	actual sound	furtive movement	bold striding (どんどん)	[sound:360d5a32b761.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
トコトコ	とことこ	Patter/trotting.	Light footsteps	onomatopoeia	actual sound	steady pacing	heavy stomping (ドンドン)	[sound:348cc7e49bc3.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
セキセキ	せきせき	Coughing repeatedly.	Repeated cough	onomatopoeia	actual sound	dry cough	smooth breathing (すーすー)	[sound:7e2deb5ac634.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ボソボソ	ぼそぼそ	Mumbling/muttering.	Unclear speech	onomatopoeia	actual sound	quiet murmur	loud shouting (わっ)	[sound:e6ba5ff54860.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ハラハラ	はらはら	Fluttering/falling.	Leaves or paper	onomatopoeia	actual sound	drifting fall	solid thud (ドン)	[sound:e70e6f5442ae.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
パリパリ	ぱりぱり	Crunching/crackling.	Crispy texture	onomatopoeia	actual sound	crisp crackle	soft squelch (ぐにゃ)	[sound:aad036e313bc.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
フワフワ	ふわふわ	Fluffy/floating.	Cloud or soft item	onomatopoeia	actual sound	airy drifting	heavy sinking (ずっしり)	[sound:14c9ade9e23b.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
パタパタ	ぱたぱた	Flapping/pattering.	Wings or leaves	onomatopoeia	actual sound	repeated light hits	firm slapping (バシバシ)	[sound:7f9b03813dbb.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ジャラジャラ	じゃらじゃら	Jingling/jangling.	Chains or coins	onomatopoeia	actual sound	metallic clinking	soft tinkling (チリン)	[sound:57d75019061a.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ビショビショ	びしょびしょ	Soaking/drenched.	Dripping wet	onomatopoeia	actual sound	thoroughly wet	barely damp (しっとり)	[sound:2cc8de583681.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ブクブク	ぶくぶく	Bubbling.	Water boiling	onomatopoeia	actual sound	bubble sounds	smooth flowing (さらさら)	[sound:f0136e9a8a7d.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
バタバタ	ばたばた	Fluttering heavily.	Busy movement	onomatopoeia	actual sound	hectic motion	calm stillness (じっと)	[sound:5453e00f7d66.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ザッザッ	ざっざっ	Crunching underfoot.	Gravel or leaves	onomatopoeia	actual sound	grinding steps	smooth walking (そっと)	[sound:99294b73cc7c.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ビリビリ	びりびり	Ripping/tearing.	Tearing paper	onomatopoeia	actual sound	shredding sound	smooth cutting (スッ)	[sound:5504f489cd71.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
バチバチ	ばちばち	Cracking/sparking.	Electrical spark	onomatopoeia	actual sound	explosive pop	soft whimper (しゅん)	[sound:d806bf441b15.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ピリピリ	ぴりぴり	Stinging/tingling.	Sharp sensation	onomatopoeia	actual sound	prickling feel	smooth pleasure (すーっ)	[sound:523931cb2084.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ザリザリ	ざりざり	Gritty grinding.	Sand or gravel	onomatopoeia	actual sound	granular friction	smooth slip (つるん)	[sound:e37503117769.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
シュー	しゅー	Hissing/steaming.	Air or steam escape	onomatopoeia	actual sound	escaping air	quiet pop (ぽん)	[sound:7d03c52b2902.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ズズズ	ずずず	Slurping.	Noodle eating	onomatopoeia	actual sound	suction noise	chewing sound (もぐもぐ)	[sound:f9d6299216af.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
クシャクシャ	くしゃくしゃ	Crunching/crumpling.	Crushing paper	onomatopoeia	actual sound	compression sound	smooth unfolding (ぱたん)	[sound:55933a5ac05a.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ショリショリ	しょりしょり	Rustling softly.	Leaf rustle	onomatopoeia	actual sound	gentle scrape	loud crackle (バリバリ)	[sound:aba02c1db367.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ビックリ	びっくり	Startled sound.	Sudden shock	onomatopoeia	actual sound	surprise reaction	calm acceptance (そっか)	[sound:4c56163e11ab.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
グツグツ	ぐつぐつ	Simmering/bubbling.	Pot bubbling slowly	onomatopoeia	actual sound	gentle boil	rapid boil (ふつふつ)	[sound:f2cf25ebf2e1.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
フンフン	ふんふん	Humming/grunting.	Casual sound	onomatopoeia	actual sound	rhythmic hum	silence (しん)	[sound:1bfc6d5dfda1.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
スタタタ	すたたた	Rapid tapping.	Machine gun or drum	onomatopoeia	actual sound	staccato burst	single hit (どん)	[sound:1bd9252745be.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ポンポン	ぽんぽん	Pop pop sound.	Bouncing or tapping	onomatopoeia	actual sound	gentle bouncing	hard bang (ドン)	[sound:19ce7d348ccf.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ドンドン	どんどん	Boom boom.	Heavy impact repeatedly	onomatopoeia	actual sound	solid hitting	light tap (ぽん)	[sound:5f2dac4cce1c.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
スルスル	するする	Slipping smoothly.	Sliding motion	onomatopoeia	actual sound	frictionless glide	rough dragging (ざりざり)	[sound:6a5170b2512d.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ゴシゴシ	ごしごし	Scrubbing roughly.	Harsh rubbing	onomatopoeia	actual sound	friction scrub	gentle wiping (ふき)	[sound:757ad5e2f1c8.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ヒュー	ひゅー	Whooshing wind.	Fast air movement	onomatopoeia	actual sound	air rushing	stillness (しん)	[sound:d951ca322059.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
