#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition
三日後に鍵が___。	みっかのちにかぎが___。	The keys were found three days later.	Cloze: intransitive	Intransitive V	Expresses natural change	見つかった	見つかる/見つける	[sound:94a9298a0847.mp3]	
お店で新しい服を___。	おみせであたらしいふくを___。	I found a new dress at the shop.	Cloze: transitive	Transitive V + を/を object	Someone causes change	見つけた	見つかる/見つける	[sound:f7d7d8f227a5.mp3]	
朝7時に起きた。	あさななときにおきた。	I woke up at 7 AM.	Intransitive - wakes	Intransitive V	Expresses natural change	じ time	起きる/起こす	[sound:1ba3f9c56709.mp3]	
妹を起こした。	いもうとをおこした。	I woke up my sister.	Transitive - someone wakes	Transitive V + を/を object	Someone causes change	妹 younger sister	起きる/起こす	[sound:cf3d32b1d6aa.mp3]	
大きな音で___。	おおきなおとで___。	I woke up from a loud sound.	Cloze: intransitive	Intransitive V	Expresses natural change	起きた	起きる/起こす	[sound:142d93dae506.mp3]	
子どもを朝___。	こどもをあさ___。	I wake up the child every morning.	Cloze: transitive	Transitive V + を/を object	Someone causes change	起こす	起きる/起こす	[sound:af4b6e4bd49a.mp3]	
彼は寝ている。	かれはねている。	He is sleeping.	Intransitive - sleeps	Intransitive V	Expresses natural change	彼 he	寝る/寝かす	[sound:56b2fbc5b7b3.mp3]	
赤ちゃんを寝かした。	あかちゃんをねかした。	I put the baby to sleep.	Transitive - someone puts to sleep	Transitive V + を/を object	Someone causes change	赤ちゃん baby	寝る/寝かす	[sound:a5e2e31ce3a8.mp3]	
疲れたので___。	つかれたので___。	I was tired so I went to sleep.	Cloze: intransitive	Intransitive V	Expresses natural change	寝た	寝る/寝かす	[sound:6977f2682b19.mp3]	
子どもを夜9時に___。	こどもをよるきゅうときに___。	I put the child to sleep at 9 PM.	Cloze: transitive	Transitive V + を/を object	Someone causes change	寝かす	寝る/寝かす	[sound:402dadc02265.mp3]	
車が止まった。	くるまがとまった。	The car stopped.	Intransitive - stops	Intransitive V	Expresses natural change	車 car	止まる/止める	[sound:a37d858e6305.mp3]	
車を止めた。	くるまをとめた。	I stopped the car.	Transitive - someone stops	Transitive V + を/を object	Someone causes change	車 car	止まる/止める	[sound:20a31e4be9d2.mp3]	
信号で車が___。	しんごうでくるまが___。	The car stopped at the traffic light.	Cloze: intransitive	Intransitive V	Expresses natural change	止まった	止まる/止める	[sound:62316479f734.mp3]	
緊急時に機械を___。	きんきゅうじにきかいを___。	In emergency, we stopped the machine.	Cloze: transitive	Transitive V + を/を object	Someone causes change	止めた	止まる/止める	[sound:f5ab16d3bcea.mp3]	
機械が動いている。	きかいがうごいている。	The machine is running.	Intransitive - operates	Intransitive V	Expresses natural change	機械 machine	動く/動かす	[sound:c81862843c2b.mp3]	
機械を動かす。	きかいをうごかす。	I operate the machine.	Transitive - someone operates	Transitive V + を/を object	Someone causes change	機械 machine	動く/動かす	[sound:edf9e1770cc9.mp3]	
時計の針が___。	とけいのはりが___。	The clock hand is moving.	Cloze: intransitive	Intransitive V	Expresses natural change	動いている	動く/動かす	[sound:c6a0f1fc8fd2.mp3]	
手でレバーを___。	てでればーを___。	I move the lever by hand.	Cloze: transitive	Transitive V + を/を object	Someone causes change	動かす	動く/動かす	[sound:88ae74e7c306.mp3]	
人口が増えた。	じんこうがふえた。	The population increased.	Intransitive - increases	Intransitive V	Expresses natural change	人口 population	増える/増やす	[sound:79e63342c2ea.mp3]	
給料を増やしたい。	きゅうりょうをふやしたい。	I want to increase my salary.	Transitive - someone increases	Transitive V + を/を object	Someone causes change	給料 salary	増える/増やす	[sound:154a6112221e.mp3]	
毎年売上が___。	まいとしうりあが___。	Sales increase every year.	Cloze: intransitive	Intransitive V	Expresses natural change	増えた	増える/増やす	[sound:7ccb81f5cd62.mp3]	
来年予算を___予定だ。	らいねんよさんを___よていだ。	We plan to increase the budget next year.	Cloze: transitive	Transitive V + を/を object	Someone causes change	増やす	増える/増やす	[sound:453eddc76254.mp3]	
状況が変わった。	じょうきょうがかわった。	The situation changed.	Intransitive - changes	Intransitive V	Expresses natural change	状況 situation	変わる/変える	[sound:5b32cf67d9a5.mp3]	
計画を変えた。	けいかくをかえた。	I changed the plan.	Transitive - someone changes	Transitive V + を/を object	Someone causes change	計画 plan	変わる/変える	[sound:d03546b1592a.mp3]	
去年から色々___。	きょねんからいろいろ___。	Many things have changed since last year.	Cloze: intransitive	Intransitive V	Expresses natural change	変わった	変わる/変える	[sound:f3e68c88f038.mp3]	
気が変わったので予定を___。	きがかわったのでよていを___。	Since I changed my mind, I changed the plan.	Cloze: transitive	Transitive V + を/を object	Someone causes change	変えた	変わる/変える	[sound:6c8ae057d9c2.mp3]	
