#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

エ	e	Vowel e.	Katakana base	エ (e)	sound: /e/	kana for /e/		[sound:3707bab0c47b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
オ	o	Vowel o.	Katakana base	オ (o)	sound: /o/	kana for /o/		[sound:06716d34cc81.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
カ	ka	Voiceless velar.	Katakana base	カ (ka)	sound: /ka/	kana for /ka/		[sound:00ed9f08e29e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
キ	ki	Voiceless velar.	Katakana base	キ (ki)	sound: /ki/	kana for /ki/		[sound:408ae436f0e0.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ク	ku	Voiceless velar.	Katakana base	ク (ku)	sound: /ku/	kana for /ku/		[sound:15901a60a347.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ケ	ke	Voiceless velar.	Katakana base	ケ (ke)	sound: /ke/	kana for /ke/		[sound:b50e4b46f608.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
コ	ko	Voiceless velar.	Katakana base	コ (ko)	sound: /ko/	kana for /ko/		[sound:202a6b25e725.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
サ	sa	Voiceless alveolar.	Katakana base	サ (sa)	sound: /sa/	kana for /sa/		[sound:bf2cbaccbc43.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
シ	shi	Voiceless alveolar.	Katakana base	シ (shi)	sound: /shi/	kana for /shi/	ツ	[sound:1afad7703773.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ス	su	Voiceless alveolar.	Katakana base	ス (su)	sound: /su/	kana for /su/		[sound:4df8398708ab.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
セ	se	Voiceless alveolar.	Katakana base	セ (se)	sound: /se/	kana for /se/		[sound:825cec98c430.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ソ	so	Voiceless alveolar.	Katakana base	ソ (so)	sound: /so/	kana for /so/	シ	[sound:7394858d1c1b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
タ	ta	Voiceless alveolar.	Katakana base	タ (ta)	sound: /ta/	kana for /ta/		[sound:056cfad24eb2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
チ	chi	Voiceless alveolar.	Katakana base	チ (chi)	sound: /chi/	kana for /chi/		[sound:7e62c71ff6cf.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ツ	tsu	Voiceless alveolar.	Katakana base	ツ (tsu)	sound: /tsu/	kana for /tsu/	ソ	[sound:ee5fe18a7c76.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
テ	te	Voiceless alveolar.	Katakana base	テ (te)	sound: /te/	kana for /te/		[sound:8996011e5796.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ト	to	Voiceless alveolar.	Katakana base	ト (to)	sound: /to/	kana for /to/		[sound:d729bd2b2767.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ナ	na	Voiced nasal.	Katakana base	ナ (na)	sound: /na/	kana for /na/		[sound:8f67916a925b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ニ	ni	Voiced nasal.	Katakana base	ニ (ni)	sound: /ni/	kana for /ni/		[sound:d8a8e4205aa7.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ヌ	nu	Voiced nasal.	Katakana base	ヌ (nu)	sound: /nu/	kana for /nu/		[sound:065ebce83a18.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ネ	ne	Voiced nasal.	Katakana base	ネ (ne)	sound: /ne/	kana for /ne/		[sound:edc16abe75a1.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ノ	no	Voiced nasal.	Katakana base	ノ (no)	sound: /no/	kana for /no/		[sound:6c807d0ae2cd.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ハ	ha	Voiceless labial.	Katakana base	ハ (ha)	sound: /ha/	kana for /ha/		[sound:35104655d4d6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ヒ	hi	Voiceless labial.	Katakana base	ヒ (hi)	sound: /hi/	kana for /hi/		[sound:9da359d5199d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
フ	fu	Voiceless labial.	Katakana base	フ (fu)	sound: /fu/	kana for /fu/		[sound:c2fa87c3ddd2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ヘ	he	Voiceless labial.	Katakana base	ヘ (he)	sound: /he/	kana for /he/		[sound:5cf428be4474.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ホ	ho	Voiceless labial.	Katakana base	ホ (ho)	sound: /ho/	kana for /ho/		[sound:41a11f66f540.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
マ	ma	Voiced labial.	Katakana base	マ (ma)	sound: /ma/	kana for /ma/		[sound:55d42f593ce9.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ミ	mi	Voiced labial.	Katakana base	ミ (mi)	sound: /mi/	kana for /mi/		[sound:651d85849d50.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ム	mu	Voiced labial.	Katakana base	ム (mu)	sound: /mu/	kana for /mu/		[sound:c6abfe263593.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
メ	me	Voiced labial.	Katakana base	メ (me)	sound: /me/	kana for /me/		[sound:cfc3325ef061.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
モ	mo	Voiced labial.	Katakana base	モ (mo)	sound: /mo/	kana for /mo/		[sound:577210255a86.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ヤ	ya	Glide y.	Katakana base	ヤ (ya)	sound: /ya/	kana for /ya/		[sound:8e621f06c443.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ユ	yu	Glide y.	Katakana base	ユ (yu)	sound: /yu/	kana for /yu/		[sound:ea633878f249.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ヨ	yo	Glide y.	Katakana base	ヨ (yo)	sound: /yo/	kana for /yo/		[sound:da6c6a6baf77.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ラ	ra	Voiced alveolar.	Katakana base	ラ (ra)	sound: /ra/	kana for /ra/		[sound:d5f1ca173fcd.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
リ	ri	Voiced alveolar.	Katakana base	リ (ri)	sound: /ri/	kana for /ri/		[sound:56cb721117e2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ル	ru	Voiced alveolar.	Katakana base	ル (ru)	sound: /ru/	kana for /ru/		[sound:1d672f91e3ff.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
レ	re	Voiced alveolar.	Katakana base	レ (re)	sound: /re/	kana for /re/		[sound:00859a61c08f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ロ	ro	Voiced alveolar.	Katakana base	ロ (ro)	sound: /ro/	kana for /ro/		[sound:4c1fe526f363.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ワ	wa	Glide w.	Katakana base	ワ (wa)	sound: /wa/	kana for /wa/		[sound:a2fbf25469bc.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ヲ	wo	Particle wo.	Katakana base	ヲ (wo)	sound: /wo/	kana for /wo/		[sound:b40c5f345cb9.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ン	n	Moraic nasal.	Katakana base	ン (n)	sound: /n/	kana for /n/		[sound:6ad7ee833add.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
が	ga	Voiced ga.	Dakuten	base + dakuten → が	sound: /ga/	kana for /ga/		[sound:a142816563b3.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぎ	gi	Voiced gi.	Dakuten	base + dakuten → ぎ	sound: /gi/	kana for /gi/		[sound:9a77c2df496e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぐ	gu	Voiced gu.	Dakuten	base + dakuten → ぐ	sound: /gu/	kana for /gu/		[sound:6e159a91b7ce.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
げ	ge	Voiced ge.	Dakuten	base + dakuten → げ	sound: /ge/	kana for /ge/		[sound:9167af511d53.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ご	go	Voiced go.	Dakuten	base + dakuten → ご	sound: /go/	kana for /go/		[sound:27a87259d93f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ざ	za	Voiced za.	Dakuten	base + dakuten → ざ	sound: /za/	kana for /za/		[sound:d08b42329511.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
じ	ji	Voiced ji.	Dakuten	base + dakuten → じ	sound: /ji/	kana for /ji/		[sound:41f11fe610d4.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ず	zu	Voiced zu.	Dakuten	base + dakuten → ず	sound: /zu/	kana for /zu/		[sound:e77eb4831e6a.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぜ	ze	Voiced ze.	Dakuten	base + dakuten → ぜ	sound: /ze/	kana for /ze/		[sound:8759dfeb913a.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぞ	zo	Voiced zo.	Dakuten	base + dakuten → ぞ	sound: /zo/	kana for /zo/		[sound:bad314622d68.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
だ	da	Voiced da.	Dakuten	base + dakuten → だ	sound: /da/	kana for /da/		[sound:b3d236275fac.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
で	de	Voiced de.	Dakuten	base + dakuten → で	sound: /de/	kana for /de/		[sound:7350618fcec3.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ど	do	Voiced do.	Dakuten	base + dakuten → ど	sound: /do/	kana for /do/		[sound:76504d613664.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ば	ba	Voiced ba.	Dakuten	pa-row + handakuten → ば	sound: /ba/	kana for /ba/		[sound:d8c158e0a2d1.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
び	bi	Voiced bi.	Dakuten	pa-row + handakuten → び	sound: /bi/	kana for /bi/		[sound:5fb5aba49978.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぶ	bu	Voiced bu.	Dakuten	pa-row + handakuten → ぶ	sound: /bu/	kana for /bu/		[sound:82b3fbb77164.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
べ	be	Voiced be.	Dakuten	pa-row + handakuten → べ	sound: /be/	kana for /be/		[sound:eefc5770b9dc.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぼ	bo	Voiced bo.	Dakuten	pa-row + handakuten → ぼ	sound: /bo/	kana for /bo/		[sound:7ebddc850724.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぱ	pa	Semi-voiced pa.	Handakuten	ha-row + handakuten → ぱ	sound: /pa/	kana for /pa/		[sound:81223f8ee527.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぴ	pi	Semi-voiced pi.	Handakuten	ha-row + handakuten → ぴ	sound: /pi/	kana for /pi/		[sound:749766f43a50.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぷ	pu	Semi-voiced pu.	Handakuten	ha-row + handakuten → ぷ	sound: /pu/	kana for /pu/		[sound:224fecb16293.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぺ	pe	Semi-voiced pe.	Handakuten	ha-row + handakuten → ぺ	sound: /pe/	kana for /pe/		[sound:bd1d8044336d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぽ	po	Semi-voiced po.	Handakuten	ha-row + handakuten → ぽ	sound: /po/	kana for /po/		[sound:06b58547dc73.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ガ	ga	Voiced ga.	Dakuten	base + dakuten → ガ	sound: /ga/	kana for /ga/		[sound:2cf8934dec55.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ギ	gi	Voiced gi.	Dakuten	base + dakuten → ギ	sound: /gi/	kana for /gi/		[sound:5bbbbf8a5aff.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
グ	gu	Voiced gu.	Dakuten	base + dakuten → グ	sound: /gu/	kana for /gu/		[sound:65429ee5e7b4.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ゲ	ge	Voiced ge.	Dakuten	base + dakuten → ゲ	sound: /ge/	kana for /ge/		[sound:df715d6e0967.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ゴ	go	Voiced go.	Dakuten	base + dakuten → ゴ	sound: /go/	kana for /go/		[sound:f684fe6c107a.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ザ	za	Voiced za.	Dakuten	base + dakuten → ザ	sound: /za/	kana for /za/		[sound:bdf380ec22e5.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ジ	ji	Voiced ji.	Dakuten	base + dakuten → ジ	sound: /ji/	kana for /ji/		[sound:fcd474ce77e4.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ズ	zu	Voiced zu.	Dakuten	base + dakuten → ズ	sound: /zu/	kana for /zu/		[sound:3c1a103b5b4f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ゼ	ze	Voiced ze.	Dakuten	base + dakuten → ゼ	sound: /ze/	kana for /ze/		[sound:56c35c37128e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ゾ	zo	Voiced zo.	Dakuten	base + dakuten → ゾ	sound: /zo/	kana for /zo/		[sound:7797100cc0f2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ダ	da	Voiced da.	Dakuten	base + dakuten → ダ	sound: /da/	kana for /da/		[sound:919e596fb58d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
デ	de	Voiced de.	Dakuten	base + dakuten → デ	sound: /de/	kana for /de/		[sound:5dc5d5b8abb3.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ド	do	Voiced do.	Dakuten	base + dakuten → ド	sound: /do/	kana for /do/		[sound:a9a84e4c1845.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
バ	ba	Voiced ba.	Dakuten	base + dakuten → バ	sound: /ba/	kana for /ba/		[sound:2768d02f9098.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ビ	bi	Voiced bi.	Dakuten	base + dakuten → ビ	sound: /bi/	kana for /bi/		[sound:d5725b2f8d16.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ブ	bu	Voiced bu.	Dakuten	base + dakuten → ブ	sound: /bu/	kana for /bu/		[sound:c11cd8dd4563.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ベ	be	Voiced be.	Dakuten	base + dakuten → ベ	sound: /be/	kana for /be/		[sound:e24283733b4a.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ボ	bo	Voiced bo.	Dakuten	base + dakuten → ボ	sound: /bo/	kana for /bo/		[sound:c6be80a62e61.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
パ	pa	Semi-voiced pa.	Handakuten	ha-row + handakuten → パ	sound: /pa/	kana for /pa/		[sound:d4c65564c4ad.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ピ	pi	Semi-voiced pi.	Handakuten	ha-row + handakuten → ピ	sound: /pi/	kana for /pi/		[sound:2083aa096d7e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
プ	pu	Semi-voiced pu.	Handakuten	ha-row + handakuten → プ	sound: /pu/	kana for /pu/		[sound:a3b8f9e1263b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ペ	pe	Semi-voiced pe.	Handakuten	ha-row + handakuten → ペ	sound: /pe/	kana for /pe/		[sound:8a8021085114.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ポ	po	Semi-voiced po.	Handakuten	ha-row + handakuten → ポ	sound: /po/	kana for /po/		[sound:23239011ca96.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
きゃ	kya	Ki + ya combo.	Yō-on	consonant + ya/yu/yo → きゃ	sound: /kya/	palatal variant of k		[sound:b2b7e45bf39e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
きゅ	kyu	Ki + yu combo.	Yō-on	consonant + ya/yu/yo → きゅ	sound: /kyu/	palatal variant of k		[sound:298ab383a42d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
