#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::03 - N3 Grammar::Recognition
その判断は適切だと思われる	そのはんだんはてきせつだとおもわれる	That decision seems appropriate.	-と思われる	passive conjecture	inference	[sound:6a2f1d8e3c7b].mp3		[sound:92df95dfffa2.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:standard frequency:top10k
彼は来そうにない	かれはこそうにない	He doesn't seem likely to come.	-そうにない	negative appearance	negation	[sound:3f7c2e1d9a5b].mp3		[sound:c2160ee5722a.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top10k
上手くいきそうもない	うまくいきそうもない	It doesn't look like it will go well.	-そうもない	negative appearance	negation	[sound:8a3e5f1c2d9b].mp3		[sound:3735cfd9573b.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top1k
改善されそうにない	かいぜんされそうにない	It doesn't appear to improve.	-そうにない	negative appearance	negation	[sound:5c1a9d7f2b3e].mp3		[sound:3b8cebd3809f.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top10k
終わりそうもない	おわりそうもない	It doesn't seem to be ending.	-そうもない	negative appearance	negation	[sound:2e9b3a5f1c7d].mp3		[sound:3776cce0cf90.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top5k
成功しそうにない	せいこうしそうにない	It doesn't look like it will succeed.	-そうにない	negative appearance	negation	[sound:7b2d1a8f3c5e].mp3		[sound:95582954473d.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top10k
明日は晴れるだろう	あしたははれるだろう	It will probably be sunny tomorrow (speaker judgment).	-だろう	conjecture / judgment	conjecture	[sound:4a1f8c3e2d5b].mp3		[sound:69ca16b5db76.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top1k
これはそうでしょう	これはそうでしょう	This is probably so (interactive).	-でしょう	conjecture / politeness	conjecture	[sound:9d2c5f7a1b3e].mp3		[sound:3770522c0158.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro
雨が降るだろう	あめがふるだろう	Rain will probably fall.	-だろう	conjecture / judgment	conjecture	[sound:1e5a3d8f2c7b].mp3		[sound:210470741473.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top1k
やめた方がいいでしょう	やめたほうがいいでしょう	You probably should stop.	-でしょう	conjecture / advice	advice	[sound:6f2a1d9c3e5b].mp3		[sound:92fa83790d92.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top1k
事実はどうだろう	じじつはどうだろう	What is the actual fact? (rhetorical).	-だろう	rhetorical question	question	[sound:3b8e2f1a7d5c].mp3		[sound:631a6fef74b6.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top10k
分かったでしょう	わかったでしょう	You understand now (checking).	-でしょう	checking understanding	confirmation	[sound:7c3a1e9f2b5d].mp3		[sound:10577b8ab3b9.mp3]	module:03-n3 jlpt:n3 point:evidentials-n3 complexity:intro frequency:top10k
